SequenceID,Type,Clade
TB-444-6323-18_S44,MDR,Ural_26
TB-111-19884-19_S90,MDR,Ural_26
TB-111-19925-19_S143,Non-MDR,Ural_17
TB-111-19597-18_S76,MDR,Ural_31
TB-111-19708-18_S166,MDR,Ural_26
TB-111-20102-19_S20,MDR,Ural_26
TB-222-6794-18_S69,Non-MDR,Ural_17
TB-111-19861-18_S172,MDR,Ural_26
TB-444-5322-19_S59,MDR,Ural_26
TB-111-19937-18_S168,Non-MDR,Ural_31
TB-111-20041-18_S161,MDR,Ural_26
TB-111-20109-18_S2,Non-MDR,Ural_31
TB-111-20153-18_S165,MDR,Ural_26
TB-444-5397-18_S29,MDR,Ural_26
TB-111-20605-19_S166,MDR,Ural_26
TB-111-20546-19_S105,Non-MDR,Ural_31
TB-111-20301-18_S1,MDR,Ural_26
TB-111-20592-18_S45,MDR,Ural_26
TB-222-7265-18_S214,MDR,Ural_26
TB-111-21342-19_S88,MDR,Ural_26
TB-111-21496-19_S122,MDR,Ural_26
TB-222-6896-19_S269,MDR,Ural_26
TB-111-20799-18_S33,Non-MDR,Ural_31
TB-111-21354-19_S138,MDR,Ural_26
TB-222-6963-19_S213,Non-MDR,Ural_17
TB-111-20948-18_S39,Non-MDR,Ural_31
TB-222-7237-18_S66,Non-MDR,Ural_17
TB-222-7040-19_S280,MDR,Ural_26
TB-111-21561-19_S150,Non-MDR,Ural_31
TB-111-21564-19_S97,MDR,Ural_26
