SeuqneceID,Clade,Type
TB-111-1791-19-138_S93,Beijing_2,MDR
TB-MoldovaSeq-DNA121-1200_S122,Beijing_2,MDR
TB-444-6285-18_S99,Beijing_2,MDR
TB-MoldovaSeq-DNA106-324_S107,Beijing_2,MDR
TB-MoldovaSeq-DNA136-2044_S137,Beijing_2,MDR
TB-MoldovaSeq-DNA144-751_S145,Beijing_2,MDR
TB-333-2444-19_S55,Beijing_2,MDR
TB-MoldovaSeq-DNA0230-5545_S40,Beijing_2,MDR
TB-MoldovaSeq-DNA171-2227_S172,Beijing_2,MDR
TB-111-211-19_S122,Beijing_2,MDR
TB-444-4679-18_S32,Beijing_2,MDR
TB-MoldovaSeq-DNA149-1039_S150,Beijing_2,MDR
TB-444-2303-19_S28,Beijing_2,MDR
TB-444-6103-18_S47,Beijing_2,MDR
TB-MoldovaSeq-DNA018-352_S18,Beijing_2,MDR
TB-444-4175-18_S101,Beijing_2,MDR
TB-111-22750-18F_S233,Beijing_2,MDR
TB-111-21011-18-138_S132,Beijing_2,MDR
TB-MoldovaSeq-DNA0229-3379_S39,Beijing_2,MDR
TB-111-6780-19_S146,Beijing_2,MDR
TB-111-5634-19_S134,Beijing_2,MDR
TB-444-6008-18_S46,Beijing_2,MDR
TB-111-19945-18_S91,Beijing_2,MDR
TB-222-2670-19_S87,Beijing_2,MDR
TB-444-3082-18_S35,Beijing_2,MDR
TB-444-3106-18_S205,Beijing_2,MDR
TB-444-2677-18_S26,Beijing_2,MDR
TB-111-19840-18_S164,Beijing_2,MDR
TB-MoldovaSeq-DNA073-475_S73,Beijing_2,MDR
TB-111-16810-18_S139,Beijing_2,MDR
TB-MoldovaSeq-DNA0239-4349_S49,Beijing_2,MDR
TB-MoldovaSeq-DNA0291-5375_S294,Beijing_2,MDR
TB-111-5047-19_S52,Beijing_2,MDR
TB-222-2944-19_S3,Beijing_2,Non-MDR
TB-222-15-18-138_S54,Beijing_1,Non-MDR
TB-222-5058-19_S277,Beijing_1,MDR
TB-333-356-19_S177,Beijing_1,Non-MDR
TB-DNA0340_S197,Beijing_1,Non-MDR
TB-111-17854-18_S98,Beijing_2,Non-MDR
TB-111-17901-18_S118,Beijing_2,Non-MDR
TB-MoldovaSeq-DNA021-106_S21,Beijing_2,Non-MDR
TB-111-15203-18_S16,Beijing_2,Non-MDR
TB-222-3339-19_S59,Beijing_2,Non-MDR
TB-MoldovaSeq-DNA0249-3687_S59,Beijing_2,Non-MDR
TB-444-4275-19_S286,Beijing_2,Non-MDR
TB-111-1045-18_S249,Beijing_2,Non-MDR
TB-111-16668-18-138_S124,Beijing_2,Non-MDR
TB-MoldovaSeq-DNA141-1097_S142,Beijing_2,MDR
TB-MoldovaSeq-DNA0202-2452_S12,Beijing_2,Non-MDR
TB-222-2423-18_S144,Beijing_2,Non-MDR
TB-333-3729-19F_S112,Beijing_2,Non-MDR
TB-444-4537-18_S26,Beijing_2,MDR
TB-444-4535-18_S26,Beijing_2,MDR
TB-444-4553-18_S24,Beijing_2,MDR
TB-222-6312-18_S113,Beijing_2,MDR
